ID_ESTUDIOS,ESTATUS DE ESTUDIO,AÑO,ESTADOS,TITULO_ORIGINAL,TITULO_BUSQUEDA,EMPRESA,FUENTE,CONTRATO,EJEMPLARES,TOMOS,CARATULA,PDF,ESTADO_ARCHIVOS
13,DIGITAL,1979,AGUASCALIENTES,ESTUDIOS GEOFÍSICOS EN DIVERSAS ZONAS DEL ESTADO DE AGUASCALIENTES.,ESTUDIOS GEOFÍSICOS EN DIVERSAS ZONAS DEL ESTADO DE AGUASCALIENTES.,"INVESTIGACIONES TÉCNICAS DEL SUBSUELO, SOCIEDAD ANÓNIMA (ITS)",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),GZA-79-23-GD,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0013_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0013_EC.pdf,AGUASCALIENTES
14,AMBOS,1991,AGUASCALIENTES ZACATECAS,"MODELO MATEMÁTICO DEL ACUÍFERO DE LOS VALLES OJOCALIENTE, ZAC. Y AGUASCALIENTES","MODELO MATEMÁTICO DEL ACUÍFERO DE LOS VALLES OJOCALIENTE, ESTADOS DE ZACATECAS Y AGUASCALIENTES",COMISIÓN NACIONAL DEL AGUA (CONAGUA),COMISIÓN NACIONAL DEL AGUA (CONAGUA),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0014_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0014_EC.pdf,AGUASCALIENTES
15,DIGITAL,1963,AGUASCALIENTES,ESTUDIO GEOHIDROLÓGICO DEL ESTADO DE AGUASCALIENTES,ESTUDIO GEOHIDROLÓGICO DEL ESTADO DE AGUASCALIENTES,"TÉCNICOS ASESORES Y CONSTRUCTORES, SOCIEDAD ANÓNIMA (TACSA)",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),SGAA-90-32,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0015_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0015_EC.pdf,AGUASCALIENTES
17,DIGITAL,1987,VERACRUZ DE IGNACIO DE LA LLAVE,INFORME DE PROSPECCIÓN GEOHIDROLÓGICA Y PERFORACIÓN EXPLORATORIA EN LA PORCIÓN CENTRAL DEL ESTADO DE VERACRUZ,INFORME DE PROSPECCIÓN GEOHIDROLÓGICA Y PERFORACIÓN EXPLORATORIA EN LA PORCIÓN CENTRAL DEL ESTADO DE VERACRUZ,,SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/30 VERACRUZ DE IGNACIO DE LA LLAVE/PDF/0017_EC.pdf,VERACRUZ DE IGNACIO DE LA LLAVE
18,DIGITAL,2020,CIUDAD DE MÉXICO,ESTUDIO HIDROGEOLÓGICO DE ZONAS DE RECARGA ACUÍFERA PARA EL ABASTECIMIENTO DE AGUA A LA CIUDAD DE MÉXICO,ESTUDIO HIDROGEOLÓGICO DE ZONAS DE RECARGA ACUÍFERA PARA EL ABASTECIMIENTO DE AGUA A LA CIUDAD DE MÉXICO,"ESTUDIOS Y PROYECTOS MORO, SOCIEDAD ANÓNIMA","THE NATURE CONSERVANCY A LA EMPRESA MORO INGENIERÍA, SOCIEDAD CIVIL",C-MX-060619MORO,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/09 CIUDAD DE MÉXICO/PDF/0018_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/09 CIUDAD DE MÉXICO/PDF/0018_EC.pdf,CIUDAD DE MÉXICO
19,AMBOS,2006,TAMAULIPAS,"ESTUDIO DE ACTUALIZACIÓN DE MEDICIONES PIEZOMÉTRICAS EN EL ACUÍFERO VICTORIA CASAS, EN EL ESTADO DE TAMAULIPAS
","ESTUDIO DE ACTUALIZACIÓN DE MEDICIONES PIEZOMÉTRICAS EN EL ACUÍFERO VICTORIA CASAS, EN EL ESTADO DE TAMAULIPAS
","GEOFÍSICA Y PERFORACIONES DEL MEDIO AMBIENTE, SOCIEDAD CIVIL",COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGT-GN-TAM-06-34-RF-LP,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/28 TAMAULIPAS/PDF/0019_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/28 TAMAULIPAS/PDF/0019_EC.pdf,TAMAULIPAS
20,DIGITAL,1971,BAJA CALIFORNIA,"ESTUDIO DE ALTERNATIVAS DE EXPLOTACIÓN FUTURA DE AGUAS SUBTERRÁNEAS EN VALLE DE MEXICALI Y MESA DE SAN LUIS, MÉXICO Y YUMA E.U.A.","ESTUDIO DE ALTERNATIVAS DE EXPLOTACIÓN FUTURA DE AGUAS SUBTERRÁNEAS EN VALLE DE MEXICALI Y MESA DE SAN LUIS, MÉXICO Y YUMA ESTADOS UNIDOS DE AMÉRICA",,SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0020_EC.pdf,BAJA CALIFORNIA
21,AMBOS,2000,SONORA,"DETERMINACIÓN DE LA DISPONIBILIDAD DE AGUA EN EL ACUÍFERO CABORCA, ESTADO DE SONORA","DETERMINACIÓN DE LA DISPONIBILIDAD DE AGUA EN EL ACUÍFERO CABORCA, ESTADO DE SONORA",INSTITUTO TECNOLÓGICO DE SONORA (ITSON),COMISIÓN NACIONAL DEL AGUA (CONAGUA),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0021_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0021_EC.pdf,SONORA
22,FÍSICO,2008,SONORA,"ESTUDIO DE ACTUALIZACIÓN DE LA DISPONIBILIDAD DE AGUA EN EL ACUÍFERO 2632, RÍO FRONTERA, ESTADO DE SONORA, MÉXICO","ESTUDIO DE ACTUALIZACIÓN DE LA DISPONIBILIDAD DE AGUA EN EL ACUÍFERO 2632, RÍO FRONTERA, ESTADO DE SONORA, MÉXICO",CONSULTORES: GEÓL. MARIANO MORALES M. E ING. RUBÉN MARTÍNEZ G.,COMISIÓN NACIONAL DEL AGUA (CONAGUA),,,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0022_CC.pdf,,SONORA
23,DIGITAL,1975,BAJA CALIFORNIA,"SERVICIOS DE PROSPECCIÓN Y LEVANTAMIENTOS GEOLÓGICOS Y GEOFÍSICOS EN EL VALLE DE LA MISIÓN, ESTADO DE BAJA CALIFORNIA NORTE","SERVICIOS DE PROSPECCIÓN Y LEVANTAMIENTOS GEOLÓGICOS Y GEOFÍSICOS EN EL VALLE DE LA MISIÓN, ESTADO DE BAJA CALIFORNIA NORTE","TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),EIGZA-75-10,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0023_EC.pdf,BAJA CALIFORNIA
24,DIGITAL,1970,GUANAJUATO,"INFORME PRELIMINAR DEL ESTUDIO GEOHIDROLÓGICO DE LA ZONA DE SAN LUIS DE LA PAZ Y DR. MORA, GTO.","INFORME PRELIMINAR DEL ESTUDIO GEOHIDROLÓGICO DE LA ZONA DE SAN LUIS DE LA PAZ Y DR. MORA, GUANAJUATO","HIDROTEC, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),,1,2,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/11 GUANAJUATO/PDF/0024_EC.pdf,GUANAJUATO
25,DIGITAL,2007,COLIMA,"ESTUDIO DE ACTUALIZACIÓN HIDROGEOLÓGICA DE LOS ACUÍFEROS ""ARMERÍA-TECOMÁN-PERIQUILLOS"" Y ""VALLE DE IXTLAHUACÁN"", ESTADO DE COLIMA","ESTUDIO DE ACTUALIZACIÓN HIDROGEOLÓGICA DE LOS ACUÍFEROS ""ARMERÍA-TECOMÁN-PERIQUILLOS"" Y ""VALLE DE IXTLAHUACÁN"", ESTADO DE COLIMA",SERVICIO GEOLÓGICO MEXICANO (SGM),SECRETARÍA DE ECONOMÍA (SE),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0025_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0025_EC.pdf,COLIMA
26,AMBOS,1974,BAJA CALIFORNIA,"INFORME DEL ""ESTUDIO GEOHIDROLÓGICO DEL VALLE SAN TELMO, EDO. DE BAJA CALIFORNIA""","INFORME DEL ""ESTUDIO GEOHIDROLÓGICO DEL VALLE SAN TELMO, EDO. DE BAJA CALIFORNIA""","TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),EIGZA-74-23,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0026_EC.pdf,BAJA CALIFORNIA
28,DIGITAL,1998,QUINTANA ROO,INFORME ANÁLISIS RESULTADOS FÍSICO-QUÍMICOS DEL AGUA PIEZOMETRÍA,INFORME ANÁLISIS RESULTADOS FÍSICO-QUÍMICOS DEL AGUA PIEZOMETRÍA,,COMISIÓN NACIONAL DEL AGUA (CONAGUA),,,,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/23 QUINTANA ROO/PDF/0028_EC.pdf,QUINTANA ROO
29,DIGITAL,1974,BAJA CALIFORNIA,ESTUDIO GEOHIDROLÓGICO DE LOS VALLES DE OJOS NEGROS Y REAL DEL CASTILLO EN EL ESTADO DE BAJA CALIFORNIA NORTE,ESTUDIO GEOHIDROLÓGICO DE LOS VALLES DE OJOS NEGROS Y REAL DEL CASTILLO EN EL ESTADO DE BAJA CALIFORNIA NORTE,"TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),EIGZA-74-23,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0029_EC.pdf,BAJA CALIFORNIA
30,FÍSICO,2005,SINALOA,"INFORME DE LA SEGUNDA CORRIDA DE PIEZOMETRÍA E HIDROMETRÍA REALIZADA DURANTE EL PERIODO: NOVIEMBRE-DICIEMBRE DE 2005, EN LOS ACUÍFEROS DE LOS RÍOS: FUERTE, SINALOA, MOCORITO, CULIACÁN, SAN LORENZO ELOTA, PIAXTLA, QUELITE, PRESIDIO, BALUARTE, CAÑAS, VALLE DE ESCUINAPA Y LAGUNA AGUA GRANDE (BARRA DE TEACAPÁN), SINALOA","INFORME DE LA SEGUNDA CORRIDA DE PIEZOMETRÍA E HIDROMETRÍA REALIZADA DURANTE EL PERIODO: NOVIEMBRE-DICIEMBRE DE 2005, EN LOS ACUÍFEROS DE LOS RÍOS: FUERTE, SINALOA, MOCORITO, CULIACÁN, SAN LORENZO ELOTA, PIAXTLA, QUELITE, PRESIDIO, BALUARTE, CAÑAS, VALLE DE ESCUINAPA Y LAGUNA AGUA GRANDE (BARRA DE TEACAPÁN), SINALOA",,COMISIÓN NACIONAL DEL AGUA (CONAGUA),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0030_CC.pdf,,SINALOA
31,DIGITAL,1973,BAJA CALIFORNIA,"GEOLOGÍA, GEOFÍSICA Y GEOQUÍMICA DEL VALLES DEL ROSARIO EN EL ESTADO DE BAJA CALIFORNIA","GEOLOGÍA, GEOFÍSICA Y GEOQUÍMICA DEL VALLES DEL ROSARIO EN EL ESTADO DE BAJA CALIFORNIA","GEOFIMEX, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),EIGZA-73-1,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0031_EC.pdf,BAJA CALIFORNIA
32,DIGITAL,1977,BAJA CALIFORNIA,ESTUDIO GEOHIDROLÓGICO DE EVALUACIÓN Y CENSO EN LOS ESTADOS DE BAJA CALIFORNIA Y SUR (VALLE DE SAN VICENTE),ESTUDIO GEOHIDROLÓGICO DE EVALUACIÓN Y CENSO EN LOS ESTADOS DE BAJA CALIFORNIA Y SUR (VALLE DE SAN VICENTE),"TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),EIGZA-77-66,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0032_EC.pdf,BAJA CALIFORNIA
33,AMBOS,1976,BAJA CALIFORNIA,ESTUDIO GEOHIDROLÓGICO EN DIVERSOS VALLES EN EL ESTADO DE BAJA CALIFORNIA NORTE,ESTUDIO GEOHIDROLÓGICO EN DIVERSOS VALLES EN EL ESTADO DE BAJA CALIFORNIA NORTE,"TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),EIGZA-76-3,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0033_EC.pdf,BAJA CALIFORNIA
34,DIGITAL,1977,BAJA CALIFORNIA,"INFORME DEL ""ESTUDIO HIDROGEOLÓGICO DE PROSPECCIÓN VALLE DE JAMAU, ESTADO DE BAJA CALIFORNIA NORTE""","INFORME DEL ""ESTUDIO HIDROGEOLÓGICO DE PROSPECCIÓN VALLE DE JAMAU, ESTADO DE BAJA CALIFORNIA NORTE""","TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),EIGZA-77-6 G,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0034_EC.pdf,BAJA CALIFORNIA
36,DIGITAL,1975,BAJA CALIFORNIA,"INFORME GEOHIDROLÓGICO DE LA CUENCA DEL ARROYO TECATE, BAJA CALIFORNIA NORTE","INFORME GEOHIDROLÓGICO DE LA CUENCA DEL ARROYO TECATE, BAJA CALIFORNIA NORTE",,SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0036_EC.pdf,BAJA CALIFORNIA
37,DIGITAL,1981,ZACATECAS,"ESTUDIO GEOHIDROLÓGICO DE LA ZONA ""LA BLANCA"", ESTADO DE ZACATECAS
TOMO 1","ESTUDIO GEOHIDROLÓGICO DE LA ZONA ""LA BLANCA"", ESTADO DE ZACATECAS
TOMO 1","BUFETE GEOLÓGICO Y CIENCIAS AFINES, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),OHIADR-E-83-39,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/32 ZACATECAS/PDF/0037_EC.pdf,ZACATECAS
38,AMBOS,1975,BAJA CALIFORNIA,ESTUDIO GEOHIDROLÓGICO DEL VALLE DE LA MISIÓN EN EL ESTADO DE BAJA CALIFORNIA NORTE,ESTUDIO GEOHIDROLÓGICO DEL VALLE DE LA MISIÓN EN EL ESTADO DE BAJA CALIFORNIA NORTE,"TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),EIGZA-74-23 Y EIGZA-75-10,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0038_EC.pdf,BAJA CALIFORNIA
39,AMBOS,1974,BAJA CALIFORNIA,"ESTUDIO GEOHIDROLÓGICO DEL VALLE DE SAN QUINTÍN, ESTADO DE BAJA CALIFORNIA.","ESTUDIO GEOHIDROLÓGICO DEL VALLE DE SAN QUINTÍN, ESTADO DE BAJA CALIFORNIA","TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),EIGZA-74-23,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0039_EC.pdf,BAJA CALIFORNIA
40,DIGITAL,1974,BAJA CALIFORNIA,ESTUDIO GEOHIDROLÓGICO DEL VALLE DE LA TRINIDAD EN EL ESTADO DE BAJA CALIFORNIA NORTE,ESTUDIO GEOHIDROLÓGICO DEL VALLE DE LA TRINIDAD EN EL ESTADO DE BAJA CALIFORNIA NORTE,"TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),EIGZA-74-23,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0040_EC.pdf,BAJA CALIFORNIA
41,DIGITAL,1977,BAJA CALIFORNIA,"INFORME FINAL DEL ""ESTUDIO GEOHIDROLÓGICO DEL VALLE SAN RAFAEL, ESTADO DE BAJA CALIFORNIA NORTE""","INFORME FINAL DEL ""ESTUDIO GEOHIDROLÓGICO DEL VALLE SAN RAFAEL, ESTADO DE BAJA CALIFORNIA NORTE""","TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),EIGZA-76-3,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0041_EC.pdf,BAJA CALIFORNIA
42,DIGITAL,1974,BAJA CALIFORNIA,ESTUDIO GEOHIDROLÓGICO DEL VALLE DE LAS PALMAS EN EL ESTADO DE BAJA CALIFORNIA NORTE,ESTUDIO GEOHIDROLÓGICO DEL VALLE DE LAS PALMAS EN EL ESTADO DE BAJA CALIFORNIA NORTE,"TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),EIGZA-74-23,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0042_EC.pdf,BAJA CALIFORNIA
43,AMBOS,2006,ZACATECAS,"ESTUDIO HIDROGEOLÓGICO CONSECUTIVO Y EVALUACIÓN INTEGRAL DEL ACUÍFERO ADMINISTRATIVO CEDROS, EN EL MUNICIPIO DE MAZAPIL, ZACATECAS","ESTUDIO HIDROGEOLÓGICO CONSECUTIVO Y EVALUACIÓN INTEGRAL DEL ACUÍFERO ADMINISTRATIVO CEDROS, EN EL MUNICIPIO DE MAZAPIL, ZACATECAS",DESARROLLO Y SISTEMAS. SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE,M3 MEXICANA SOCIEDAD DE RESPONSABILIDAD LIMITADA DE CAPITAL VARIABLE,,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/32 ZACATECAS/PDF/0043_CC.pdf,,ZACATECAS
